 Branch:,           3 , # of structures:,           3 , outlet temperatures
      JDAY,      T(C),      T(C),      T(C),   Q(m3/s),   Q(m3/s),   Q(m3/s),    ELEVCL,    ELEVCL,    ELEVCL,
    8.7149,    -99.00,      8.54,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    8.7566,    -99.00,      8.54,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    8.7980,    -99.00,      8.54,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    8.8400,    -99.00,      8.54,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    8.8820,    -99.00,      8.54,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    8.9232,    -99.00,      8.54,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    8.9652,    -99.00,      8.54,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    9.0067,    -99.00,      8.54,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    9.0483,    -99.00,      8.53,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    9.0901,    -99.00,      8.53,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    9.1318,    -99.00,      8.53,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    9.1735,    -99.00,      8.52,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    9.2150,    -99.00,      8.51,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    9.2566,    -99.00,      8.50,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    9.2987,    -99.00,      8.49,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    9.3400,    -99.00,      8.48,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    9.3817,    -99.00,      8.47,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    9.4234,    -99.00,      8.47,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    9.4653,    -99.00,      8.46,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    9.5070,    -99.00,      8.45,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    9.5486,    -99.00,      8.45,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    9.5905,    -99.00,      8.44,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    9.6321,    -99.00,      8.44,    -99.00,      0.00,      6.91,      0.00,    301.90,    340.05,    368.81,
    9.6738,    -99.00,      8.43,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    9.7157,    -99.00,      8.43,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    9.7570,    -99.00,      8.43,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    9.7991,    -99.00,      8.43,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    9.8405,    -99.00,      8.42,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    9.8825,    -99.00,      8.42,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    9.9240,    -99.00,      8.42,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    9.9659,    -99.00,      8.43,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
   10.0075,    -99.00,      8.44,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
   10.0495,    -99.00,      8.44,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
   10.0906,    -99.00,      8.45,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
   10.1329,    -99.00,      8.45,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
   10.1746,    -99.00,      8.46,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
   10.2163,    -99.00,      8.46,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
   10.2576,    -99.00,      8.46,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
   10.2992,    -99.00,      8.46,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
   10.3412,    -99.00,      8.46,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
   10.3827,    -99.00,      8.46,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
   10.4243,    -99.00,      8.46,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
   10.4663,    -99.00,      8.46,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
   10.5078,    -99.00,      8.46,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
   10.5496,    -99.00,      8.46,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
   10.5912,    -99.00,      8.46,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
   10.6328,    -99.00,      8.47,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
   10.6747,    -99.00,      8.47,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
   10.7162,    -99.00,      8.47,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
   10.7578,    -99.00,      8.47,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
   10.7999,    -99.00,      8.47,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
   10.8415,    -99.00,      8.48,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
   10.8831,    -99.00,      8.48,    -99.00,      0.00,      6.91,      0.00,    301.90,    340.05,    368.81,
   10.9248,    -99.00,      8.48,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
   10.9665,    -99.00,      8.48,    -99.00,      0.00,      6.95,      0.00,    301.90,    340.05,    368.81,
   11.0083,    -99.00,      8.48,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
   11.0501,    -99.00,      8.48,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
   11.0920,    -99.00,      8.48,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
   11.1333,    -99.00,      8.48,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
   11.1753,    -99.00,      8.48,    -99.00,      0.00,      6.91,      0.00,    301.90,    340.05,    368.81,
   11.2166,    -99.00,      8.48,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
   11.2584,    -99.00,      8.48,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
   11.3000,    -99.00,      8.48,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
