 JDAY =    291.580844302622     
QIN:,13.071374,.000000,.000000,
QTR:,.000000,.000000,
QDT:,9.667285,.000000,.000000,
QWD:,2.688868,2.858696,16.371380,

SEG,BRANCH,KT,WSE,SZ,Z,Q,QC,QERR,H2KT,H1KT,BHR1,BHR2,T1,T2,SUKT,UKT
123,3,5,579.642056,-.752169,-.752056,8.548456,8.547775,.007972,1.252169,1.252056,126.535949,126.549073,7.886884,7.886884,.027805,.027611
124,3,5,579.659572,-.769703,-.769572,13.941387,13.940573,.005844,1.269703,1.269572,65.676745,65.682795,7.914155,7.914155,.149314,.149055
125,3,5,579.681359,-.791448,-.791359,20.649595,20.648819,.003757,1.291448,1.291359,84.056015,84.061525,8.084370,8.084370,.064442,.064356
126,3,5,579.689204,-.799269,-.799204,24.959610,24.958834,.003110,1.299269,1.299204,90.367195,90.370990,8.085125,8.085125,.037688,.037635
127,3,5,579.692772,-.802814,-.802772,28.240120,28.239344,.002747,1.302814,1.302772,109.112906,109.115721,8.041480,8.041480,.043609,.043568
128,3,5,579.694985,-.805010,-.804985,30.590141,30.589366,.002535,1.305010,1.304985,127.434389,127.436195,7.995615,7.995615,.057201,.057166
129,3,5,579.696620,-.806631,-.806620,31.851724,31.850950,.002431,1.306631,1.306620,144.537232,144.537804,7.955710,7.955710,.075668,.075652
130,3,5,579.696170,-.806169,-.806170,31.733638,31.732866,.002435,1.306169,1.306170,161.233221,161.232744,7.934149,7.934149,.080932,.080948
131,3,5,579.692378,-.802372,-.802378,30.896621,30.896621,.000000,1.302372,1.302378,117.546069,117.544952,7.952839,7.952839,.128610,.127987
132,3,5,579.754793,-.864764,-.864793,.000000,.000000,.000000,1.364764,1.364793,65.333902,65.332503,8.297356,8.297356,.000000,.000000
